Data_Year,ID,Name,Address,ZIP Code,Community Area,Primary Property Type,SqFt,Year_Built,# of Buildings,ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site_EUI_kBtu_sqft,Source EUI (kBtu/sq ft),Weather_Normalized_Site_EUI_kBtu_sqft,Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2015,173497,Shop & Save Market - Nagle,6312 N. Nagle Ave,60646,NORWOOD PARK,Supermarket/Grocery Store,66711,1987,1,1,9335908,67134488,,,,1146.3,1496.1,1146.3,1496.1,5442,81.6,41.99589087,-87.78753092,"(41.99589087, -87.78753092)"
2015,101356,DePaul College Prep,3633 N. California,60618,IRVING PARK,K-12 School,202400,1961,1,1,3344426,162124545,,,,817.5,892.9,817.5,892.9,9283,45.9,41.94809411,-87.69742569,"(41.94809411, -87.69742569)"
2017,250075,Frank O Lowden Homes,200 W. 95TH STREET,60620,ROSELAND,Multifamily Housing,114868,1954,19,1,1846322,91453716,,,,812.2,886.4,894.5,973,5198.9,45.3,41.72174884,-87.6288572,"(41.72174884, -87.6288572)"
2016,134735,Searle Chemistry Laboratory,5715-35 S Ellis Ave,60637,HYDE PARK,Laboratory,85570,2009,1,,15515039.6,61560,25585080.3,25999200,,784.9,1233.6,772.5,1224.7,5932,69.3,41.79059152,-87.60101889,"(41.79059152, -87.60101889)"
2015,134735,Searle Chemistry Laboratory,5715-35 S Ellis Ave,60637,HYDE PARK,Laboratory,85570,2009,1,,15029335,54350,25523159,20681998,,716.2,1152.7,714.4,1152.8,5807,67.9,41.79059152,-87.60101889,"(41.79059152, -87.60101889)"
2017,134735,Searle Chemistry Laboratory,5715-35 S Ellis Ave,60637,HYDE PARK,Laboratory,85570,2009,1,,15181998,69000,23606571,20889602,,698.2,1134,688.4,1124.1,5479.1,64,41.79059152,-87.60101889,"(41.79059152, -87.60101889)"
2016,129459,Lurie Children's Stanley Manne Children's Research Institute,2430 N. Halsted Street,60614,LINCOLN PARK,Laboratory,102215,1992,1,,26054833.8,38623139.6,,,,632.8,1197.1,657,1210.5,6853.9,67.1,41.92651485,-87.64916423,"(41.92651485, -87.64916423)"
2015,251947,BSLC,924 E. 57th St.,60637,HYDE PARK,Laboratory,175729,1993,1,,30481716,,80487538,,,631.5,1095.7,622.4,1084.8,11468,65.3,41.79195215,-87.60279582,"(41.79195215, -87.60279582)"
2017,251947,BSLC,924 E. 57th St.,60637,HYDE PARK,Laboratory,175729,1993,1,,28049404,,82409882,,,628.6,1065.4,621.4,1056.8,10658.1,60.7,41.79195215,-87.60279582,"(41.79195215, -87.60279582)"
2015,129459,Lurie Children's Stanley Manne Children's Research Institute,2430 N. Halsted Street,60614,LINCOLN PARK,Laboratory,102215,1992,1,,25706967,37905094,,,,622.3,1179.1,635.5,1187.5,7178,70.2,41.92651485,-87.64916423,"(41.92651485, -87.64916423)"
2017,129459,Lurie Children's Stanley Manne Children's Research Institute,2430 N. Halsted Street,60614,LINCOLN PARK,Laboratory,102215,1992,1,,25103585,37945226,,,,616.8,1161,635,1176.3,6657,65.1,41.92651485,-87.64916423,"(41.92651485, -87.64916423)"
2016,251330,McGowan North,2325 N. Clifton,60614,LINCOLN PARK,College/University,56025,1998,1,,10071439.2,21696216.1,,,,567,971.1,592.6,984.4,3008.8,53.7,41.92422089,-87.65659192,"(41.92422089, -87.65659192)"
2016,260150,Cummings Life Science Center,920 E. 58th St.,60637,HYDE PARK,Laboratory,172408,1973,1,,44552394.7,,52727039.9,,,564.2,1179.3,569.2,1174.9,11712.9,67.9,41.78987998,-87.60276375,"(41.78987998, -87.60276375)"
2015,251330,McGowan North,2325 N. Clifton,60614,LINCOLN PARK,College/University,56025,1998,1,,9191345,22394430,,,,563.8,934.9,578.3,943.9,3036,54.2,41.92422089,-87.65659192,"(41.92422089, -87.65659192)"
2015,260150,Cummings Life Science Center,920 E. 58th St.,60637,HYDE PARK,Laboratory,172408,1973,1,,43021021,,53730001,,,561.2,1158.4,564.5,1157.6,12211,70.8,41.78987998,-87.60276375,"(41.78987998, -87.60276375)"
2016,251947,BSLC,924 E. 57th St.,60637,HYDE PARK,Laboratory,175729,1993,1,,30078895.4,,68260979.5,,,559.6,1004.8,542.8,981.7,10076.6,57.3,41.79195215,-87.60279582,"(41.79195215, -87.60279582)"
2015,252064,Mansueto Library,1100 East 57th Street,60637,HYDE PARK,Library,64028,2009,1,,4143062,,17202221,13753441,,548.2,741.2,549.6,743.4,2699,42.2,41.79221307,-87.59994981,"(41.79221307, -87.59994981)"
2017,260150,Cummings Life Science Center,920 E. 58th St.,60637,HYDE PARK,Laboratory,172408,1973,1,,42752053,,48762964,,,530.8,1118.9,540.1,1134.3,11142.4,64.6,41.78987998,-87.60276375,"(41.78987998, -87.60276375)"
2017,251330,McGowan North,2325 N. Clifton,60614,LINCOLN PARK,College/University,56025,1998,1,,9645584,19423671,,,,518.9,904.6,550,933.9,2815.1,50.2,41.92422089,-87.65659192,"(41.92422089, -87.65659192)"
2016,254382,William Eckhardt Research Center (ERC),5640 S. Ellis Ave. ,60637,Hyde Park,Laboratory,284391,2015,1,,35435189.5,,53983441.5,54696931.4,,506.8,811.9,502.6,809.3,12998.4,45.7,41.78040086,-87.60270024,"(41.78040086, -87.60270024)"
2016,160954,Armour,950 E. 59th St.,60637,HYDE PARK,Laboratory,64814,1963,1,,11786692.6,,20906940.5,,,504.4,959.1,502.4,952.8,3560.7,54.9,41.787764,-87.602285,"(41.787764, -87.602285)"
2015,161181,Crowell Hall 820 N. LaSalle,820 N. LaSalle,60610,NEAR NORTH SIDE,College/University,102928,1938,1,,7479957,44203254,,,,502.1,679.1,521.6,699.6,3851,37.4,41.89734755,-87.63307304,"(41.89734755, -87.63307304)"
2016,161181,Crowell Hall 820 N. LaSalle,820 N. LaSalle,60610,Near North Side,College/University,102928,1938,1,,7256406.2,43683364.7,,,,494.9,667,538.6,712.8,3657.7,35.5,41.89734755,-87.63307304,"(41.89734755, -87.63307304)"
2017,254382,William Eckhardt Research Center (ERC),5640 S. Ellis Ave.,60637,Hyde Park,Laboratory,284391,2015,1,,37478295,,49619131,52724620,,491.7,809.1,495.3,814.4,13002.8,45.7,41.78040086,-87.60270024,"(41.78040086, -87.60270024)"
2014,158868,KCBD,900 E. 57th St.,60637,HYDE PARK,Laboratory,376735,2009,1,,65743815,,119256719,,,491,929,481,916,21127,56.08,41.79207324,-87.60337358,"(41.79207324, -87.60337358)"
2014,110848,Gordon Center for Integrative Science (GCIS),929 East 57th Street,60637,HYDE PARK,Laboratory,479503,2005,1,,89021468,,144812352,,,488,946,464,918,27501,57.35,41.791333,-87.602895,"(41.791333, -87.602895)"
2017,172151,6045 Kenwood Building,6045 South Kenwood Avenue,60637,WOODLAWN,Office,99164,2009,1,,16569109,,7710064,23613720,,483,856.3,489.7,864.8,4819.9,48.6,41.78471041,-87.59260612,"(41.78471041, -87.59260612)"
2017,110848,Gordon Center for Integrative Science (GCIS),929 East 57th Street,60637,HYDE PARK,Laboratory,479503,2005,1,,91658535,,136761956,,,476.4,943.3,496.4,962.9,26028,54.3,41.791333,-87.602895,"(41.791333, -87.602895)"
2017,251960,Latin School of Chicago Middle School,45 W. North BLVD,60610,NEAR NORTH SIDE,K-12 School,81509,2007,1,1,35738175,2925600,,,,474.3,1414.4,474.5,1407.2,6763.2,83,41.911172,-87.630192,"(41.911172, -87.630192)"
2015,251956,Carlson,949 E. 58th St.,60637,HYDE PARK,Laboratory,67021,1927,1,,6978929,,24727739,,,473.1,770.8,491,792.4,3044,45.4,41.789531,-87.602855,"(41.789531, -87.602855)"
2016,158868,KCBD,900 E. 57th St.,60637,HYDE PARK,Laboratory,376735,2009,1,,71837885.8,,104749620.1,,,468.7,933.3,464.5,920,20196.5,53.6,41.79207324,-87.60337358,"(41.79207324, -87.60337358)"
2015,158868,KCBD,900 E. 57th St.,60637,HYDE PARK,Laboratory,376735,2009,1,,66898504,,105191403,,,456.8,893.5,464.3,899.5,20425,54.2,41.79207324,-87.60337358,"(41.79207324, -87.60337358)"
2017,103748,NMH Olson Pavilion,710 N Fairbanks Ct,60611,NEAR NORTH SIDE,Laboratory,362800,1977,1,,87466927,,77595676,,,455,1014.3,463.8,1020.4,21324.4,58.8,41.89531,-87.620363,"(41.89531, -87.620363)"
2016,110848,Gordon Center for Integrative Science (GCIS),929 East 57th Street,60637,HYDE PARK,Laboratory,479503,2005,1,,94731177.4,,123127668.1,,,454.3,929.3,469.3,937.6,25636.5,53.5,41.791333,-87.602895,"(41.791333, -87.602895)"
2017,251948,SBRI,5812 S. Ellis Ave.,60637,HYDE PARK,Laboratory,214708,1977,1,,45274715,,50494256,,,446,945,447.1,937.1,11723.8,54.6,41.790012,-87.601281,"(41.790012, -87.601281)"
2015,160954,Armour,950 E. 59th St.,60637,HYDE PARK,Laboratory,64814,1963,1,,11705426,,17145840,,,445.1,885.3,444.2,882.4,3490,53.8,41.787764,-87.602285,"(41.787764, -87.602285)"
2016,251948,SBRI,5812 S. Ellis Ave.,60637,HYDE PARK,Laboratory,214708,1977,1,,48771605.7,,46685401.4,,,444.6,974.8,437.1,940.9,12089.5,56.3,41.790012,-87.601281,"(41.790012, -87.601281)"
2014,103748,NMH Olson Pavilion,710 N Fairbanks Ct,60611,NEAR NORTH SIDE,Laboratory,362800,1977,1,,80257371,,80110236,,,442,960,432,948,21444,59.11,41.89531,-87.620363,"(41.89531, -87.620363)"
2016,172151,6045 Kenwood Building,6045 South Kenwood Avenue,60637,WOODLAWN,Office,99164,1914,1,,13280230.8,98010,8251769.7,21933479.9,,439.3,742.8,446,750.8,4156.8,41.9,41.78471041,-87.59260612,"(41.78471041, -87.59260612)"
2016,251956,Carlson,949 E. 58th St.,60637,HYDE PARK,Laboratory,67021,1927,1,,7207867.1,,21671097.3,,,430.9,726.7,453.3,753.7,2767.5,41.3,41.789531,-87.602855,"(41.789531, -87.602855)"
2015,103748,NMH Olson Pavilion,710 N Fairbanks Ct,60611,NEAR NORTH SIDE,Laboratory,362800,1977,1,,76987993,,78876833,,,429.6,927.9,432.8,926.1,20705,57.1,41.89531,-87.620363,"(41.89531, -87.620363)"
2014,101980,Harold Washington College,30 East Lake Street,60601,LOOP,College/University,345300,1983,1,,18393372,127278001,,,,422,554,422,555,10456,30.28,41.88606565,-87.62685764,"(41.88606565, -87.62685764)"
2017,160954,Armour,950 E. 59th St.,60637,HYDE PARK,Laboratory,64814,1963,1,,11177678,,16119000,,,421.2,840.7,420.5,838.8,3137,48.4,41.787764,-87.602285,"(41.787764, -87.602285)"
2016,103748,NMH Olson Pavilion,710 N Fairbanks Ct,60611,NEAR NORTH SIDE,Laboratory,362800,1977,1,,80649717,,71583879.8,,,419.6,935.4,424.7,929.9,19618.5,54.1,41.89531,-87.620363,"(41.89531, -87.620363)"
2017,251956,Carlson,949 E. 58th St.,60637,HYDE PARK,Laboratory,67021,1927,1,,6513170,,21336782,,,415.5,688.1,432.4,708.4,2621,39.1,41.789531,-87.602855,"(41.789531, -87.602855)"
2017,163223,Salem Baptist Church of Chicago,10909 S. Cottage Grove Avenue,60628,PULLMAN,Worship Facility,91800,1960,1,1,3048683,34857170,,,,412.9,503,412.9,503,2415.1,26.3,41.69635381,-87.60821945,"(41.69635381, -87.60821945)"
2015,251948,SBRI,5812 S. Ellis Ave.,60637,HYDE PARK,Laboratory,214708,1977,1,,44019850,,43831737,,,409.2,889.4,406,875.3,11755,54.7,41.790012,-87.601281,"(41.790012, -87.601281)"
2017,105067,1033 W Loyola,1033 W Loyola Ave,60626,ROGERS PARK,Multifamily Housing,91600,1932,1,1,896622,36360310,,,,406.7,447.5,406.8,447.7,2097.1,22.9,42.01036185,-87.66829765,"(42.01036185, -87.66829765)"
2017,158868,KCBD,900 E. 57th St.,60637,HYDE PARK,Laboratory,376735,2009,1,,64040067,,83974019,,,392.9,801.9,391.5,797.5,17416.4,46.2,41.79207324,-87.60337358,"(41.79207324, -87.60337358)"
2017,252064,Mansueto Library,1100 East 57th Street,60637,HYDE PARK,Library,64028,2009,1,,3058227,,14117856,7923600,,392,539,401.1,550,1920.4,30,41.79221307,-87.59994981,"(41.79221307, -87.59994981)"
2016,250015,Hamilton Park,513 West 72nd Street,60621,ENGLEWOOD,Other - Recreation,54758,1905,1,,936186.3,19940804,,,,381.3,436.1,429.8,487,1231.7,22.5,41.76303922,-87.63901962,"(41.76303922, -87.63901962)"
2017,100372,Building,2701 W. 68th Street,60629,CHICAGO LAWN,Hospital (General Medical & Surgical),409910,1911,1,10,35184544,119199985,,,,376.6,574.9,,,12836.7,31.3,41.770003,-87.690841,"(41.770003, -87.690841)"
2017,101940,Mallers Building LLC,5 S. Wabash Ave.,60603,LOOP,Enclosed Mall,315000,1912,1,,16450221,99093925,,,,366.8,494.3,366.8,494.4,8304.9,26.4,41.88185833,-87.62566994,"(41.88185833, -87.62566994)"
2015,100372,Holy Cross Hospial,2701 W 68th Street,60629,CHICAGO LAWN,Hospital (General Medical & Surgical),409910,1922,1,16,32239913,116219010,,,,362.2,544.7,361.5,544,12650,30.9,41.770003,-87.690841,"(41.770003, -87.690841)"
2015,173925,Hinds Laboratory,5734 South Ellis Avenue,60637,HYDE PARK,Laboratory,131381,1969,1,,20401024,,20109275,6948000,,361.2,724.6,360.1,721,5800,44.1,41.79028177,-87.60167126,"(41.79028177, -87.60167126)"
2016,252064,Mansueto Library,1100 East 57th Street,60637,HYDE PARK,Library,64028,2009,1,,3142411.1,,11748959.5,8190360.4,,360.5,502.8,369.4,513.5,1791,28,41.79221307,-87.59994981,"(41.79221307, -87.59994981)"
2015,120267,Pete's Madison,2333 W. Madison,60612,NEAR WEST SIDE,Supermarket/Grocery Store,66000,2013,1,35,12278737,11436300,,,,359.3,766.1,366,769.6,3074,46.6,41.881165,-87.684802,"(41.881165, -87.684802)"
2015,121374,8522-Edgewater,5201 Sheridan Road,60640,EDGEWATER,Supermarket/Grocery Store,55129,2013,1,32,11152661,8184000,,,,350.8,791.1,355.5,796.1,2675,48.5,41.976491,-87.654964,"(41.976491, -87.654964)"
2017,251957,Peck,5821 S. Drexel Ave.,60637,HYDE PARK,Laboratory,124893,1961,1,,24308245,,19450260,,,350.4,798.5,356,805.2,5785.9,46.3,41.781317,-87.604346,"(41.781317, -87.604346)"
2016,101840,Northwestern University Chicago Campus,710 N Lakeshore Drive,60611,NEAR NORTH SIDE,College/University,2238599,1925,12,,227341321.2,549330198.1,,,,346.9,576.5,356.4,581.1,71081.4,31.8,41.89534174,-87.61664801,"(41.89534174, -87.61664801)"
2016,121374,8522-Edgewater,5201 Sheridan Road,60640,EDGEWATER,Supermarket/Grocery Store,55129,2013,1,38,10988079.9,8099899.6,,,,346.2,780.1,357.7,784.7,2455.6,44.5,41.976491,-87.654964,"(41.976491, -87.654964)"
2015,251957,Peck,5821 S. Drexel Ave.,60637,HYDE PARK,Laboratory,124893,1961,1,,25924847,,16942860,,,343.2,815,343.2,815,6334,50.7,41.781317,-87.604346,"(41.781317, -87.604346)"
2015,110848,Gordon Center for Integrative Science (GCIS),929 East 57th Street,60637,HYDE PARK,Laboratory,479503,2005,1,,95910296,,67259708,,,340.3,796.8,345.1,797.9,23736,49.5,41.791333,-87.602895,"(41.791333, -87.602895)"
2014,101840,Northwestern University Chicago Campus,710N Lakeshore Dr,60611,NEAR NORTH SIDE,College/University,2238599,1925,12,,219950383,516911375,,,20981795,339,560,,,73204,32.7,41.89534174,-87.61664801,"(41.89534174, -87.61664801)"
2015,119349,Pete's Pulaski,4343 S. Pulaski,60632,ARCHER HEIGHTS,Supermarket/Grocery Store,56000,2003,1,23,11391225,7547800,,,,338.2,780.2,341.1,780.8,2690,48,41.8138411,-87.72238849,"(41.8138411, -87.72238849)"
2016,251951,Goldblatt Hospital,5840 S. Ellis Ave.,60637,HYDE PARK,Laboratory,79347,1950,1,,5762011.6,,20978579.9,,,337,546.1,350,561.7,2455,30.9,41.78964,-87.601268,"(41.78964, -87.601268)"
2017,255191,Anatomy/Culver,1027 East 57th Street,60637,Hyde Park,Laboratory,67004,1897,2,,4549493,,14282628,3730152,,336.7,525.3,355.9,549.2,1986.1,29.6,41.7839855,-87.6155392,"(41.7839855, -87.6155392)"
2017,100867,Rush University Medical Center,1653 West Congress Parkway,60612,NEAR WEST SIDE,Hospital (General Medical & Surgical),3825836,1982,9,2,464443828,326688992,477961740,,,331.7,621.1,334.4,623.1,134961.2,35.3,41.875121,-87.668005,"(41.875121, -87.668005)"
2016,120267,Pete's Madison,2333 W. Madison,60612,NEAR WEST SIDE,Supermarket/Grocery Store,66000,2013,1,45,12508866.3,9111199.6,,,,327.6,740.1,334.2,739.9,2789.6,42.3,41.881165,-87.684802,"(41.881165, -87.684802)"
2016,117750,Whole Foods EWR,6009 N. Broadway ,60660,EDGEWATER,Supermarket/Grocery Store,56595,1990,1,61,9099558.3,9430721.6,,,,327.4,679.8,338.1,682.6,2178.2,38.5,41.99113477,-87.65969151,"(41.99113477, -87.65969151)"
2014,250125,Comer Children's Hospital,5721 S. Maryland Ave.,60637,HYDE PARK,Hospital (General Medical & Surgical),252204,2006,1,3,37006313,,45288420,,,326,677,326,677,10442,41.4,41.79022382,-87.60461196,"(41.79022382, -87.60461196)"
2015,175850,Whole Foods KBS,1550 N. Kingsbury St.,60642,NEAR NORTH SIDE,Supermarket/Grocery Store,120372,2009,1,54,20385608,18800179,,,,325.5,695.8,331.5,702,5094,42.3,41.9085638,-87.65280194,"(41.9085638, -87.65280194)"
2015,133159,Lurie Children's Lincoln Park Outpatient Center - Deming,467 W. Deming Place,60614,LINCOLN PARK,Mixed Use Property,62925,1972,1,,10032297,10348933,,,,323.9,673.3,328.1,673.7,2565,40.8,41.92884376,-87.64165184,"(41.92884376, -87.64165184)"
2016,173925,Hinds Laboratory,5734 South Ellis Avenue,60637,HYDE PARK,Laboratory,131381,1969,1,,19490824.8,,14306243.8,8679911.7,,323.3,662.9,319.4,656.2,4999.9,38.1,41.79028177,-87.60167126,"(41.79028177, -87.60167126)"
2015,175508,8507-Jefferson Park (Elston),5353 N. Elston,60630,JEFFERSON PARK,Supermarket/Grocery Store,63165,2013,1,51,10671637,9743700,,,,323.2,692.5,324.8,693,2662,42.1,41.97887489,-87.75758499,"(41.97887489, -87.75758499)"
2015,251951,Goldblatt Hospital,5840 S. Ellis Ave.,60637,HYDE PARK,Laboratory,79347,1950,1,,5889153,,19509960,,,320.1,528.9,326.7,536.8,2479,31.2,41.78964,-87.601268,"(41.78964, -87.601268)"
2016,250022,Fosco Park,1312 South Racine,60608,NEAR WEST SIDE,Other - Recreation,60500,2005,1,,4633287.9,14638178.4,,,,318.5,494.5,318.5,494.5,1631.5,27,41.86475039,-87.65742311,"(41.86475039, -87.65742311)"
2017,121374,53100522--CHICAGO,5201 Sheridan Road,60640,EDGEWATER,Supermarket/Grocery Store,55129,2013,1,37,10464754,7088167,,,,318.4,731,330.3,743.5,2311.4,41.9,41.976491,-87.654964,"(41.976491, -87.654964)"
2016,119349,Pete's Pulaski,4343 S. Pulaski,60632,ARCHER HEIGHTS,Supermarket/Grocery Store,56000,2003,1,40,10263429.1,7547999.6,,,,318.1,717,322.1,716.5,2292.7,40.9,41.8138411,-87.72238849,"(41.8138411, -87.72238849)"
2015,125235,8527-Ukrainian Village,2021 W Chicago Ave,60622,WEST TOWN,Supermarket/Grocery Store,54963,2013,1,61,8444649,8978100,,,,317,654,323.9,661.2,2174,39.5,41.89552589,-87.67837795,"(41.89552589, -87.67837795)"
2017,251951,Goldblatt Hospital,5840 S. Ellis Ave.,60637,HYDE PARK,Laboratory,79347,1950,1,,5423398,,19629360,,,315.7,512.2,324.4,522.6,2306.1,29.1,41.78964,-87.601268,"(41.78964, -87.601268)"
2014,250138,Provident Hospital,500 E. 51st St.,60615,GRAND BOULEVARD,Hospital (General Medical & Surgical),373995,1981,2,1,39238375,77699964,,,,313,548,302,535,12011,32.11,41.802169,-87.613988,"(41.802169, -87.613988)"
2017,172544,Technology Business Center,3440 S. Dearborn Street,60616,DOUGLAS,Office,144195,1943,1,2,10913002,,18028206,15943968,,311.3,498.6,321.6,510.9,4055.1,28.1,41.83131494,-87.62845898,"(41.83131494, -87.62845898)"
2016,175850,Whole Foods KBS,1550 N. Kingsbury St.,60642,NEAR NORTH SIDE,Supermarket/Grocery Store,120372,2009,1,64,19907948.6,17548973.8,,,,311.2,672.4,321.7,683.4,4601.6,38.2,41.9085638,-87.65280194,"(41.9085638, -87.65280194)"
2015,101840,Northwestern University Chicago Campus,710 N Lakeshore Drive,60611,NEAR NORTH SIDE,College/University,2238599,1925,12,,224419967,471936891,,,,311.1,536.1,317,540.3,70156,31.3,41.89534174,-87.61664801,"(41.89534174, -87.61664801)"
2017,175850,Whole Foods KBS,1550 N. Kingsbury St.,60642,NEAR NORTH SIDE,Supermarket/Grocery Store,120372,2009,1,58,20187555,17196773,,,,310.6,676.6,319.2,685.7,4646,38.6,41.9085638,-87.65280194,"(41.9085638, -87.65280194)"
2016,175508,8507-Jefferson Park (Elston),5353 N. Elston,60630,JEFFERSON PARK,Supermarket/Grocery Store,63165,2013,1,56,10797110.2,8813999.8,,,,310.5,683.3,318.6,687.4,2458.3,38.9,41.97887489,-87.75758499,"(41.97887489, -87.75758499)"
2015,252039,Accelerator/High Energy Physics,5604-20 South Ellis Avenue,60637,HYDE PARK,Laboratory,90986,1949,2,,15165374,,13044211,,,310,695.8,313.3,699.7,3913,43,41.793042,-87.601363,"(41.793042, -87.601363)"
2016,174228,Roscoe Square,3330 N Western Ave,60618,NORTH CENTER,Supermarket/Grocery Store,51298,1981,1,50,9223857.5,6675799.7,,,,309.9,701.2,317.7,703.5,2054.7,40.1,41.94133511,-87.68998877,"(41.94133511, -87.68998877)"
2014,103778,WEISS MEMORIAL HOSPITAL,4646 N MARINE DR,60640,UPTOWN,Hospital (General Medical & Surgical),412000,1952,4,30,38961560,88380814,,,,309,522,302,514,12522,30.39,41.96683175,-87.64961847,"(41.96683175, -87.64961847)"
2016,254161,Damen Student Center-ID#254161,6511 N Sheridan Rd,60626,Rogers Park,College/University,107304,2013,1,,12966835.1,20062699.4,,,,307.8,575.8,327.9,599.3,3455.7,32.2,42.00055166,-87.66056947,"(42.00055166, -87.66056947)"
2017,133159,Lurie Children's Lincoln Park Outpatient Center - Deming,467 W. Deming Place,60614,LINCOLN PARK,Mixed Use Property,62925,1972,1,,10053369,9288526,,,,307.4,656.7,315.8,661,2352.2,37.4,41.92884376,-87.64165184,"(41.92884376, -87.64165184)"
2016,251674,Camras Eleme-CPS,3000 N Mango Ave,60634,BELMONT CRAGIN,K-12 School,125430,1990,1,1,2124330.6,36433208.5,,,,307.4,358.2,343.3,395.9,2326.7,18.5,41.93583269,-87.77043893,"(41.93583269, -87.77043893)"
2017,120267,Pete's Madison,2333 W. Madison,60612,NEAR WEST SIDE,Supermarket/Grocery Store,66000,2013,1,53,11209986,9003858,,,,306.3,676.6,,,2550.9,38.7,41.881165,-87.684802,"(41.881165, -87.684802)"
2017,117750,Whole Foods EWR,6009 N. Broadway,60660,EDGEWATER,Supermarket/Grocery Store,56595,1990,1,65,8743646,8540833,,,,305.4,643.6,318.6,654.2,2070.3,36.6,41.99113477,-87.65969151,"(41.99113477, -87.65969151)"
2016,251957,Peck,5821 S. Drexel Ave.,60637,HYDE PARK,Laboratory,124893,1961,1,,24629798.4,,13432499.8,,,304.8,748.6,308.7,753.3,5431.7,43.5,41.781317,-87.604346,"(41.781317, -87.604346)"
2017,125235,53100527--CHICAGO,2021 W Chicago Ave,60622,WEST TOWN,Supermarket/Grocery Store,54963,2013,1,54,8225128,8431601,,,,303.1,631,317.7,645.2,1968.6,35.8,41.89552589,-87.67837795,"(41.89552589, -87.67837795)"
2016,133159,Lurie Children's Lincoln Park Outpatient Center - Deming,467 W. Deming Place,60614,LINCOLN PARK,Mixed Use Property,62925,1972,1,,9621635.3,9442064.9,,,,303,637.7,308.5,636.3,2275,36.2,41.92884376,-87.64165184,"(41.92884376, -87.64165184)"
2015,250138,Provident Hospital,500 E. 51st St.,60615,GRAND BOULEVARD,Hospital (General Medical & Surgical),373995,1981,2,1,39204460,74003906,,,,302.7,536.9,311.5,544,11807,31.6,41.802169,-87.613988,"(41.802169, -87.613988)"
2017,172387,Wrigley GIC,1132 West Blackhawk,60622,NEAR NORTH SIDE,Office,184150,2005,1,,23206097,32328098,,,,301.6,537.2,308.4,542.1,5577.8,30.3,41.90715786,-87.65671987,"(41.90715786, -87.65671987)"
